Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Total_Income,EMI
1,0,0,0,0,-0.3528020005260067,-0.5632281059850605,-1.131588492380916,0.28069138826167456,1.0,2,-0.5751675940282435,-0.620917534519888
1,1,1,0,0,-0.3433464024197133,-0.5632281059850605,-0.5923093226951952,0.28069138826167456,1.0,1,-0.5660439685511508,-0.3915693249301232
1,1,2,0,0,-0.33947115729418326,0.05040501959997446,0.040757528674998794,0.28069138826167456,0.0,0,-0.30654412916171203,-0.1223344701943124
1,1,1,1,0,-0.44596289334374944,-0.024953434419240354,-0.39301049911568975,-2.4867678815472076,0.0,0,-0.44070629396420574,0.2565886586931251
1,1,0,0,0,-0.45107821690944916,0.23449495727548494,0.040757528674998794,0.28069138826167456,1.0,1,-0.33750462873151826,-0.1223344701943124
1,1,2,1,1,-0.5665605216502451,0.10961523347221468,-0.5805858624846361,0.28069138826167456,1.0,1,-0.5009820491653261,-0.38658349428686745
1,1,0,0,0,-0.3921744910013922,0.6626027460608339,-1.0612477311175612,-2.4867678815472076,1.0,1,-0.10223474552714519,-0.3117960346380312
1,1,0,0,0,-0.4878155406994742,0.20399272588675513,-1.037800810696443,0.28069138826167456,1.0,0,-0.3856654058401057,-0.5810308893738421
0,0,0,0,1,0.2962240530977687,-0.5632281059850605,0.5565897779396014,0.28069138826167456,1.0,0,0.05107207601416592,0.09704207810894087
1,1,0,0,0,-0.1467939696528284,1.455301912386765,1.2717208507837094,0.28069138826167456,1.0,1,0.46492571036031993,0.401177747347542
1,0,1,0,0,4.989610929529742,-0.5632281059850605,0.0642044490961171,0.28069138826167456,1.0,1,4.57968080052911,-0.11236280890780091
1,1,0,0,0,1.2586799324744158,-0.5632281059850605,-0.2171585959573025,0.28069138826167456,1.0,2,0.9797374954775813,-0.23202274434593909
0,0,1,0,0,-0.41139570682402127,-0.0034224475566075503,-0.6626500839585502,0.28069138826167456,1.0,2,-0.3983786544557267,-0.42148430878965776
1,0,0,0,0,-0.27591713723549016,1.1413083539733697,0.3455674941495367,0.28069138826167456,1.0,2,0.20946419700172542,0.007297126530337268
1,1,2,0,0,-0.4568135796952337,0.2728918838471801,-0.25232897658897996,0.28069138826167456,1.0,0,-0.3270348945774775,-0.2469802362757063
1,1,0,0,0,0.07285492406221572,0.24418390136366971,1.388955452889301,0.28069138826167456,1.0,1,0.1720722893087227,0.4510360537800995
1,0,0,0,0,-0.2114330583466699,2.0240788153413147,0.43935517583400985,0.28069138826167456,1.0,2,0.6396207031020286,0.04718377167638323
1,0,0,1,0,0.27948299415547884,-0.5632281059850605,-0.3109462776417757,0.28069138826167456,1.0,0,0.03491877189078875,-0.2719093894919851
